hex1_id,hex2_id,L1,L2,L3,L5,Mi1,Mi4,Mi9,C2,C3,Tm1,Tm2,Tm4,Tm9,Tm20,T1,x,y
8,5,47020,42526,123306,123505,45423.0,66843.0,90761.0,100733.0,61419.0,61836.0,58030.0,90748.0,118145.0,104509.0,43402.0,-3,13
8,6,40962,39594,88085,119006,45987.0,65283.0,81059.0,104099.0,60883.0,58118.0,68978.0,88004.0,97408.0,105702.0,47236.0,-2,14
8,7,38830,35023,86034,122468,43100.0,62950.0,72845.0,87592.0,63982.0,93767.0,57480.0,77155.0,105580.0,,43854.0,-1,15
8,8,37901,35612,76305,109992,42331.0,62721.0,95887.0,102818.0,50425.0,53517.0,57376.0,81528.0,98121.0,102976.0,43455.0,0,16
8,9,33281,29661,76571,106848,40758.0,62230.0,81220.0,91648.0,58249.0,60743.0,59055.0,74136.0,100520.0,100071.0,39708.0,1,17
8,10,30160,27227,64990,119264,39389.0,62843.0,78488.0,83881.0,58391.0,52310.0,57405.0,78162.0,96215.0,112290.0,46889.0,2,18
8,11,29971,25431,125108,106138,41947.0,65163.0,78746.0,89143.0,49964.0,53231.0,52959.0,65516.0,91414.0,107594.0,43137.0,3,19
8,12,28429,28294,57567,109586,41211.0,64368.0,78093.0,79151.0,52506.0,58286.0,53900.0,75370.0,93668.0,96256.0,37633.0,4,20
8,13,28532,23934,70530,103852,36465.0,53981.0,71458.0,82426.0,58203.0,45461.0,54811.0,72320.0,85695.0,101342.0,37185.0,5,21
8,14,31806,26237,76264,112445,39662.0,64319.0,78557.0,100475.0,51298.0,49997.0,51243.0,109072.0,95243.0,90680.0,34705.0,6,22
8,15,30400,27009,74443,105527,39394.0,75258.0,86391.0,82340.0,62170.0,59780.0,62065.0,90434.0,112042.0,100756.0,40668.0,7,23
8,16,31230,28629,77431,114077,43778.0,71422.0,89921.0,82660.0,71312.0,60538.0,66340.0,84930.0,102383.0,175499.0,37561.0,8,24
8,17,30617,31864,96547,130995,44876.0,68953.0,100212.0,117424.0,66777.0,55235.0,64695.0,90350.0,108637.0,116554.0,44526.0,9,25
8,18,30248,24368,87858,127381,48170.0,76907.0,92101.0,107983.0,65447.0,59613.0,66455.0,85948.0,117708.0,122251.0,41590.0,10,26
8,19,28764,21994,95659,136899,48462.0,92910.0,108854.0,91849.0,73791.0,58899.0,63339.0,86632.0,163343.0,119551.0,34380.0,11,27
8,20,48128,66052,163912,136810,50552.0,84450.0,110515.0,101974.0,71656.0,56965.0,57540.0,84782.0,106245.0,119566.0,49178.0,12,28
8,21,48771,25515,102620,114260,45443.0,81683.0,106465.0,94418.0,543741.0,52878.0,58874.0,86320.0,103513.0,136058.0,42157.0,13,29
8,22,35943,23253,45619,129616,48028.0,74051.0,108959.0,93257.0,63484.0,53412.0,61161.0,84606.0,110563.0,134609.0,25958.0,14,30
8,23,27217,25508,69524,138586,71060.0,74346.0,118004.0,83493.0,67290.0,55012.0,78045.0,116356.0,104010.0,123562.0,40584.0,15,31
8,24,29274,24762,62672,114157,75486.0,83647.0,108414.0,92227.0,57079.0,87984.0,68510.0,83464.0,115442.0,194913.0,117601.0,16,32
8,25,28145,31163,61359,166854,63990.0,145081.0,173175.0,120927.0,75296.0,74132.0,70079.0,82629.0,118791.0,,52053.0,17,33
8,26,35160,41422,58269,179868,70891.0,175825.0,143800.0,123969.0,90041.0,77163.0,76456.0,87320.0,131532.0,144989.0,128646.0,18,34
9,1,98752,107398,144677,172608,78786.0,99784.0,123901.0,149296.0,101488.0,100160.0,101887.0,99852.0,151857.0,128797.0,128867.0,-8,10
9,2,64776,71598,124533,159145,53510.0,62309.0,90813.0,118711.0,74330.0,77057.0,75427.0,85803.0,114528.0,88141.0,57820.0,-7,11
