receptor,0.0s,0.5s,1.0s,1.5s,odour,glomerulus
Or19a,0.1527777777777778,0.1388888888888889,0.08333333333333333,0.0625,methyl salicylate at 10-4,DC1
Or49b,0.006944444444444444,0.009270833333333332,0.005798611111111111,0.005798611111111111,methyl salicylate at 10-4,VA5
Or43a,0.06597222222222222,0.03239583333333333,0.017361111111111112,0.009270833333333332,methyl salicylate at 10-4,DA4l
Or67a,-0.004618055555555556,-0.010416666666666666,-0.009270833333333332,-0.0011458333333333333,methyl salicylate at 10-4,DM6
Or98a,0.05555555555555555,-0.005798611111111111,-0.002326388888888889,-0.004618055555555556,methyl salicylate at 10-4,VM5v
Or7a,0.0,-0.006944444444444444,0.005798611111111111,0.004618055555555556,methyl salicylate at 10-4,DL5
Or9a,0.0011458333333333333,-0.0011458333333333333,0.0,0.0011458333333333333,methyl salicylate at 10-4,VM3
Or35a,0.06597222222222222,0.02315972222222222,0.009270833333333332,-0.0115625,methyl salicylate at 10-4,VC3
Or85b,0.11225694444444444,-0.0011458333333333333,-0.018506944444444444,-0.015034722222222222,methyl salicylate at 10-4,VM5d
Or43b,0.002326388888888889,-0.003472222222222222,-0.0011458333333333333,-0.0011458333333333333,methyl salicylate at 10-4,VM2
Or2a,-0.004618055555555556,-0.006944444444444444,-0.002326388888888889,-0.0196875,methyl salicylate at 10-4,DA4m
Or47b,-0.003472222222222222,-0.008090277777777778,0.002326388888888889,0.002326388888888889,methyl salicylate at 10-4,VA1v
Or85f,-0.005798611111111111,-0.005798611111111111,-0.016215277777777776,-0.006944444444444444,methyl salicylate at 10-4,DL4
Or23a,0.003472222222222222,-0.008090277777777778,0.008090277777777778,-0.009270833333333332,methyl salicylate at 10-4,DA3
Or85a,-0.004618055555555556,0.0011458333333333333,0.006944444444444444,-0.002326388888888889,methyl salicylate at 10-4,DM5
Or82a,0.0428125,0.008090277777777778,0.005798611111111111,0.009270833333333332,methyl salicylate at 10-4,VA6
Or67c,0.006944444444444444,0.0011458333333333333,-0.015034722222222222,0.0011458333333333333,methyl salicylate at 10-4,VC4
Or22a,0.05555555555555555,0.0,0.002326388888888889,-0.002326388888888889,methyl salicylate at 10-4,DM2
Or59b,-0.0011458333333333333,-0.005798611111111111,-0.002326388888888889,-0.003472222222222222,methyl salicylate at 10-4,DM4
Or47a,0.016215277777777776,0.009270833333333332,0.003472222222222222,0.003472222222222222,methyl salicylate at 10-4,DM3
Or33b,0.0115625,-0.005798611111111111,0.003472222222222222,0.006944444444444444,methyl salicylate at 10-4,DM5+DM3
Or65a,-0.008090277777777778,-0.002326388888888889,-0.0011458333333333333,0.0011458333333333333,methyl salicylate at 10-4,DL3
Or88a,0.006944444444444444,-0.008090277777777778,-0.003472222222222222,-0.010416666666666666,methyl salicylate at 10-4,VA1d
Or47a,0.8657291666666667,0.7928125,0.7268402777777778,0.6064930555555555,pentyl acetate at10-2,DM3
Or98a,0.7465277777777778,0.21065972222222223,0.026631944444444444,-0.002326388888888889,pentyl acetate at10-2,VM5v
Or85b,0.7337847222222222,0.5717708333333333,0.4085763888888889,0.3414236111111111,pentyl acetate at10-2,VM5d
Or67a,0.7303125,0.39121527777777776,0.20024305555555555,0.11690972222222223,pentyl acetate at10-2,DM6
Or35a,0.7025347222222222,0.5810069444444445,0.34260416666666665,0.23958333333333334,pentyl acetate at10-2,VC3
Or19a,0.6319444444444444,0.11690972222222223,0.04746527777777778,0.041666666666666664,pentyl acetate at10-2,DC1
Or22a,0.5416666666666666,0.17708333333333334,0.1597222222222222,0.1388888888888889,pentyl acetate at10-2,DM2
Or9a,0.29975694444444445,0.0115625,0.013888888888888888,0.0115625,pentyl acetate at10-2,VM3
Or43b,0.2951388888888889,0.03357638888888889,0.005798611111111111,-0.002326388888888889,pentyl acetate at10-2,VM2
Or59b,0.2303125,0.05555555555555555,0.016215277777777776,0.010416666666666666,pentyl acetate at10-2,DM4
Or43a,0.13427083333333334,-0.016215277777777776,-0.0115625,-0.0115625,pentyl acetate at10-2,DA4l
Or65a,0.12961805555555556,-0.04513888888888889,-0.03934027777777778,-0.025451388888888888,pentyl acetate at10-2,DL3
Or2a,0.12385416666666667,-0.03125,-0.018506944444444444,-0.013888888888888888,pentyl acetate at10-2,DA4m
Or85f,0.11690972222222223,0.008090277777777778,0.0,-0.0115625,pentyl acetate at10-2,DL4
Or85a,0.10878472222222221,0.021979166666666668,0.021979166666666668,-0.003472222222222222,pentyl acetate at10-2,DM5
Or82a,0.09836805555555556,-0.020833333333333332,-0.020833333333333332,-0.0196875,pentyl acetate at10-2,VA6
Or23a,0.08565972222222223,0.002326388888888889,-0.027777777777777776,-0.021979166666666668,pentyl acetate at10-2,DA3
Or67c,0.061354166666666675,0.0,-0.0011458333333333333,-0.005798611111111111,pentyl acetate at10-2,VC4
